,,,,,,,,,,,Vegas,,,
Rk,Team,Date,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result
228,ARI,11/10/02,37,76,Sun,9,10,,SEA,L 6-27,-3,did not cover,37,under
229,ARI,11/3/02,43.5,76,Sun,8,9,,STL,L 14-27,5,did not cover,43.5,under
230,ARI,10/27/02,40.5,62,Sun,7,8,@,SFO,L 28-38,8.5,did not cover,40.5,over
231,ARI,10/20/02,36.5,81,Sun,6,7,,DAL,W 9-6 (OT),-3.5,did not cover,36.5,under
232,ARI,10/6/02,35,74,Sun,5,5,@,CAR,W 16-13,5,covered,35,under
233,ARI,9/29/02,38.5,90,Sun,4,4,,NYG,W 21-7,3,covered,38.5,under
234,ARI,9/22/02,39,100,Sun,3,3,,SDG,L 15-23,2.5,did not cover,39,under
235,ARI,9/15/02,40.5,62,Sun,2,2,@,SEA,W 24-13,4,covered,40.5,under
236,ARI,9/8/02,44.5,76,Sun,1,1,@,WAS,L 23-31,6,did not cover,44.5,over
237,ARI,1/6/02,36.5,40,Sun,16,17,@,WAS,L 17-20,3.5,covered,36.5,over
238,ARI,12/30/01,39.5,42,Sun,15,16,@,CAR,W 30-7,1,covered,39.5,under
239,ARI,12/23/01,37,58,Sun,14,15,,DAL,W 17-10,-3.5,covered,37,under
240,ARI,12/15/01,37.5,46,Sat,13,14,@,NYG,L 13-17,5,covered,37.5,under
241,ARI,12/9/01,38.5,71,Sun,12,13,,WAS,L 10-20,-2,did not cover,38.5,under
242,ARI,12/2/01,44,58,Sun,11,12,@,OAK,W 34-31 (OT),13,covered,44,over
243,ARI,11/25/01,44,63,Sun,10,11,@,SDG,W 20-17,7,covered,44,under
244,ARI,11/18/01,39.5,79,Sun,9,10,,DET,W 45-38,-2,covered,39.5,over
245,ARI,11/11/01,37.5,83,Sun,8,9,,NYG,L 10-17,5.5,did not cover,37.5,under
246,ARI,11/4/01,39.5,94,Sun,7,8,,PHI,L 7-21,7,did not cover,39.5,under
247,ARI,10/28/01,38,70,Sun,6,7,@,DAL,L 3-17,-3,did not cover,38,under
248,ARI,10/21/01,41,88,Sun,5,6,,KAN,W 24-16,2,covered,41,under
249,ARI,10/14/01,39.5,54,Sun,4,5,@,CHI,L 13-20,7,push,39.5,under
250,ARI,10/7/01,41,53,Sun,3,4,@,PHI,W 21-20,14.5,covered,41,push
251,ARI,9/30/01,42,104,Sun,2,3,,ATL,L 14-34,3,did not cover,42,over
252,ARI,9/23/01,45,103,Sun,1,2,,DEN,L 17-38,8.5,did not cover,45,over
253,ARI,12/24/00,38.5,34,Sun,16,17,@,WAS,L 3-20,7,did not cover,38.5,under
254,ARI,12/17/00,37.5,68,Sun,15,16,,BAL,L 7-13,15,covered,37.5,under
255,ARI,12/10/00,42,61,Sun,14,15,@,JAX,L 10-44,15,did not cover,42,over
256,ARI,12/3/00,38.5,32,Sun,13,14,@,CIN,L 13-24,4,did not cover,38.5,under
257,ARI,11/26/00,39,64,Sun,12,13,,NYG,L 7-31,6,did not cover,39,under
258,ARI,11/19/00,38,39,Sun,11,12,@,PHI,L 9-34,7,did not cover,38,over
259,ARI,11/5/00,40,65,Sun,9,10,,WAS,W 16-15,10,covered,40,under
