Season,Team,win_percentage,Date,G#,Week,Game time,Rk,Spread...4,Over/Under...5,Temperature,Day,Location,Opp,Result,Spread...13,vs. Line,Over/Under...15,OU Result,after_bye
2021,TAM,0.765,2021-10-14,6,6,night,351,-7,52.5,74,Thu,away,PHI,W 28-22,-7,did not cover,52.5,under,0
2021,TAM,0.765,2021-10-03,4,4,night,392,-7,49.5,62,Sun,away,NWE,W 19-17,-7,did not cover,49.5,under,0
2021,TAM,0.765,2021-09-09,1,1,night,511,-8.5,52,82,Thu,home,DAL,W 31-29,-8.5,did not cover,52,over,0
2024,PIT,0.75,2024-12-01,12,13,early,12,3,47,32,Sun,away,CIN,W 44-38,3,covered,47,over,0
2024,PIT,0.75,2024-11-17,10,11,early,66,3,48.5,52,Sun,home,BAL,W 18-16,3,covered,48.5,under,0
2024,PIT,0.75,2024-11-10,9,10,early,14,2.5,45.5,57,Sun,away,WAS,W 28-27,2.5,covered,45.5,over,1
2024,PIT,0.75,2024-09-29,4,4,early,259,-1,40.5,70,Sun,away,IND,L 24-27,-1,did not cover,40.5,over,0
2024,PIT,0.75,2024-09-22,3,3,early,291,-1,34.5,72,Sun,home,LAC,W 20-10,-1,covered,34.5,under,0
2024,PIT,0.75,2024-09-08,1,1,early,354,3.5,42,76,Sun,away,ATL,W 18-10,3.5,covered,42,under,0
2024,PIT,0.75,2024-10-13,6,6,afternoon,202,-3,36.5,85,Sun,away,LVR,W 32-13,-3,covered,36.5,over,0
2024,PIT,0.75,2024-09-15,2,2,afternoon,322,-2.5,36.5,83,Sun,away,DEN,W 13-6,-2.5,covered,36.5,under,0
2024,PIT,0.75,2024-11-21,11,12,night,48,-3.5,36.5,36,Thu,away,CLE,L 19-24,-3.5,did not cover,36.5,over,0
2024,PIT,0.75,2024-10-28,8,8,night,130,-6,36.5,54,Mon,home,NYG,W 26-18,-6,covered,36.5,over,0
2024,PIT,0.75,2024-10-20,7,7,night,178,1.5,39,60,Sun,home,NYJ,W 37-15,1.5,covered,39,over,0
2024,PIT,0.75,2024-10-06,5,5,night,228,-2.5,43.5,67,Sun,home,DAL,L 17-20,-2.5,did not cover,43.5,under,0
2022,CIN,0.75,2023-01-08,16,18,early,2,-9,39.5,38,Sun,home,BAL,W 27-16,-9,covered,39.5,over,1
2022,CIN,0.75,2022-12-24,15,16,early,83,-3,41.5,21,Sat,away,NWE,W 22-18,-3,covered,41.5,under,0
2022,CIN,0.75,2022-12-11,13,14,early,124,-5.5,46.5,47,Sun,home,CLE,W 23-10,-5.5,covered,46.5,under,0
2022,CIN,0.75,2022-11-27,11,12,early,181,-1.5,43,56,Sun,away,TEN,W 20-16,-1.5,covered,43,under,0
2022,CIN,0.75,2022-11-06,9,9,early,253,-7,42.5,68,Sun,home,CAR,W 42-21,-7,covered,42.5,over,0
2022,CIN,0.75,2022-10-23,7,7,early,299,-6.5,47,73,Sun,home,ATL,W 35-17,-6.5,covered,47,over,0
2022,CIN,0.75,2022-10-16,6,6,early,319,-3,43,77,Sun,away,NOR,W 30-26,-3,covered,43,over,0
2022,CIN,0.75,2022-09-25,3,3,early,411,-6,45,66,Sun,away,NYJ,W 27-12,-6,covered,45,under,0
2022,CIN,0.75,2022-09-11,1,1,early,466,-7,44,76,Sun,home,PIT,L 20-23 (OT),-7,did not cover,44,under,0
2022,CIN,0.75,2022-12-18,14,15,afternoon,97,-3.5,45,66,Sun,away,TAM,W 34-23,-3.5,covered,45,over,0
